mo,res,reg,inter,temp,inter_sd,temp_sd,r.squared
ACCESS1-0,cnt,AFG,12.8153610177016,1.64873861835072,0.0483714524054435,0.0332060748941406,0.894099029507838
ACCESS1-0,cnt,AGO,22.4355540023203,1.38644400399663,0.0214067391396607,0.0146953160957993,0.96823726852014
ACCESS1-0,cnt,ALB,13.7351294003896,1.60038884360039,0.0457224409496328,0.0313875793058794,0.899023876696392
ACCESS1-0,cnt,ARE,26.6700379129459,1.36064385574742,0.0274514719308995,0.018844909291772,0.946958826861748
ACCESS1-0,cnt,ARG,17.2582361141028,0.870072891080195,0.0279951036412959,0.0192181020406467,0.875304262099474
ACCESS1-0,cnt,ARM,9.13519040195845,1.43983243604395,0.0584397696047203,0.0401177816623154,0.815201744645875
ACCESS1-0,cnt,AUS,16.88856516462,0.929143043730302,0.0211701172012547,0.0145328796706441,0.933326300779004
ACCESS1-0,cnt,AUT,7.85135015436312,1.85092729297391,0.0716095759274561,0.0491586012645169,0.829208284934421
ACCESS1-0,cnt,AZE,13.4355648207357,1.7301883904314,0.0681021269198839,0.0467508047514704,0.82427072341615
ACCESS1-0,cnt,BDI,20.3093527872217,1.07801614003068,0.0257471583051768,0.0176749306559333,0.927217125029553
ACCESS1-0,cnt,BEL,9.80567350202759,1.43442895080041,0.0601667581352972,0.0413033261857047,0.805088145459014
ACCESS1-0,cnt,BEN,27.3344312173609,1.07194263103294,0.0189278652899055,0.0129936167129039,0.95886083715858
ACCESS1-0,cnt,BFA,28.8454284714071,1.21456070339812,0.0264734083810058,0.0181734874122556,0.938635403856843
ACCESS1-0,cnt,BGD,25.5942761511238,0.975172480833654,0.0307110407286832,0.0197566485020008,0.924838608127681
ACCESS1-0,cnt,BGR,10.5439241000339,1.86872100409537,0.0721552430387484,0.0495331912770922,0.829767344139174
ACCESS1-0,cnt,BHS,22.8472214378295,1.04971101724884,0.0203839322471602,0.0139931787692221,0.950670563730677
ACCESS1-0,cnt,BIH,9.43435154230306,2.03815333428133,0.0668392815216677,0.0458838855917685,0.871088464097189
ACCESS1-0,cnt,BLR,6.56516817071834,1.99775598018374,0.0956217231551661,0.065642480072397,0.760306340108717
ACCESS1-0,cnt,BLZ,26.1087749744639,1.02464634862142,0.0242833270780031,0.016670038577141,0.92825749569126
ACCESS1-0,cnt,BOL,16.4990537314205,1.1510956698809,0.0221509733251838,0.0152062185987078,0.951513862393135
ACCESS1-0,cnt,BRA,22.541197330256,1.04731494470821,0.0244571242684343,0.016789347017034,0.9301974922628
ACCESS1-0,cnt,BRN,27.1077616037741,1.17764265473187,0.0201017052640577,0.0137994353550385,0.961451642795157
ACCESS1-0,cnt,BTN,13.1683001906736,1.21961361250221,0.0216585780198908,0.014868198659839,0.958408398197001
ACCESS1-0,cnt,BWA,21.6820260137438,1.23372068004116,0.0437761624160097,0.0300514963987415,0.852330907994454
ACCESS1-0,cnt,CAF,25.7554620005336,1.10710488689519,0.0240617035535757,0.016517898275693,0.938966933777633
ACCESS1-0,cnt,CAN,5.95393355600053,1.67770444364281,0.0533522397206981,0.0366252899145173,0.877839894766983
ACCESS1-0,cnt,CHE,7.42549430087939,1.54838936779472,0.0576847160852969,0.039599451894069,0.839640647230189
ACCESS1-0,cnt,CHL,13.1488837894085,1.06343977267293,0.0202735654940178,0.0139174141086956,0.952370075399338
ACCESS1-0,cnt,CHN,15.1652479740964,1.32766268420386,0.0335335798715191,0.023020159811389,0.919298676548497
ACCESS1-0,cnt,CIV,26.7351874511978,1.03149646955854,0.0193723353564574,0.0132987368940061,0.953710274146343
ACCESS1-0,cnt,CMR,24.673794408808,1.21778482610904,0.0174093586269159,0.0119511909954407,0.972646118152017
ACCESS1-0,cnt,COD,24.1062360200825,1.2127555763442,0.0216280407694146,0.014847235422724,0.958070012973551
ACCESS1-0,cnt,COG,25.1404789574401,1.17255225659631,0.021990682849102,0.0150961822593195,0.953833670401526
ACCESS1-0,cnt,CRI,23.1071115859915,0.976705172903555,0.0196805775864202,0.0135103392765,0.947085167994811
ACCESS1-0,cnt,CUB,25.2929625409728,0.831291683806488,0.0203658990431135,0.0139807993203038,0.923708699626991
ACCESS1-0,cnt,CYN,18.3882826862681,1.05079840125314,0.0298903987850876,0.020519185827913,0.899811923714464
ACCESS1-0,cnt,CYP,17.5025148217623,1.13366449214762,0.0277040920594587,0.0190183281678146,0.92406193641367
ACCESS1-0,cnt,CZE,7.74151229519546,1.84339873823274,0.0761298514043918,0.0522616837349615,0.809914053581381
ACCESS1-0,cnt,DEU,9.01727845146428,1.49285495943796,0.0651516836535974,0.0447253820031512,0.792334517970199
ACCESS1-0,cnt,DJI,28.4550947787432,1.09596027308108,0.0174271970330553,0.0119634367193294,0.966375857860619
ACCESS1-0,cnt,DNK,5.93397698497666,1.42331562988462,0.0635362147305375,0.0436163935527188,0.784801303732237
ACCESS1-0,cnt,DOM,25.7246650349487,0.86397036445766,0.020052879000726,0.0137659170611613,0.930985791714524
ACCESS1-0,cnt,DZA,16.7900465636852,1.37421132385868,0.0304057660611533,0.0208729755843914,0.936885240313172
ACCESS1-0,cnt,EGY,21.7757848313894,1.3685815948903,0.0357938652773875,0.0245718024174513,0.913970451186289
ACCESS1-0,cnt,ERI,24.8310259242899,1.44911127243721,0.0213826209263838,0.0146787594046817,0.97091043317974
ACCESS1-0,cnt,ESP,13.972267635843,1.27003745603335,0.0315737954071665,0.0216748053416865,0.921618862961432
ACCESS1-0,cnt,EST,5.2622134538797,2.00035175944301,0.0980251092892443,0.0672923585854258,0.751627173296835
ACCESS1-0,cnt,ETH,19.6669223952264,1.29992629054137,0.0165629287485034,0.0113701331082468,0.978148498354058
ACCESS1-0,cnt,FIN,2.77535111975511,1.93291973053222,0.0934134132899242,0.0641265176787096,0.756779623500453
ACCESS1-0,cnt,FJI,23.2710686365563,0.613038931140832,0.0244718210777629,0.0167994360949302,0.82015713371619
ACCESS1-0,cnt,FLK,6.09731715277955,0.427783477162575,0.0204563258817773,0.0140428756117482,0.760650681327361
ACCESS1-0,cnt,FRA,10.866274025554,1.39613053306139,0.0512328970658962,0.0351704018054768,0.843665219987729
ACCESS1-0,cnt,GAB,25.4844168694844,1.14183375938215,0.0161288742628594,0.0110721630237924,0.973277402137801
ACCESS1-0,cnt,GBR,8.74673326890532,1.14084619600017,0.0437925025124544,0.0300627135617444,0.831420184015801
ACCESS1-0,cnt,GEO,11.4608924618978,1.67815053764339,0.0538482013445708,0.036965758062732,0.875899249875988
ACCESS1-0,cnt,GHA,27.2611460326377,1.08981386504379,0.0180004330829983,0.0123569522798481,0.963817727287304
ACCESS1-0,cnt,GIN,25.6908971850065,1.14241083040209,0.024282949408853,0.0166697793145086,0.941466714872907
ACCESS1-0,cnt,GMB,26.998060314055,1.03520417900012,0.0303424344669117,0.0208294996588822,0.894278942431363
ACCESS1-0,cnt,GNB,27.3854935103537,1.12781857248278,0.0207715529987496,0.0142592729852881,0.955404953344861
ACCESS1-0,cnt,GNQ,25.2160707346937,1.42259819288381,0.022648545523119,0.015547792375145,0.966297158840322
ACCESS1-0,cnt,GRC,13.9167335498304,1.54237376814949,0.0451835326970193,0.0310176291202335,0.89438071689052
ACCESS1-0,cnt,GRL,-5.96835493748244,1.66982122865362,0.100513570038577,0.0690006391911196,0.667291080970507
ACCESS1-0,cnt,GTM,22.9310688774816,1.36509156310434,0.0297389748658376,0.020415236209836,0.938695435599144
ACCESS1-0,cnt,GUY,26.9178770042875,0.956807478184327,0.0224904902274279,0.0154392904442511,0.929341602600075
ACCESS1-0,cnt,HND,25.0090628422076,1.13562432571893,0.0342974811415425,0.023544563390829,0.888482359964433
ACCESS1-0,cnt,HRV,11.3751025066234,1.88757917037028,0.0692060254739218,0.0475086099493311,0.843898413574794
