region,iso3
R10NORTH_AM,CAN
R10PAC_OECD,JPN
R10PAC_OECD,NZL
R10CHINA+,CHN
R10CHINA+,HKG
R10CHINA+,MAC
R10CHINA+,TWN
R10REST_ASIA,ASM
R10REST_ASIA,BRN
R10REST_ASIA,CCK
R10REST_ASIA,FJI
R10REST_ASIA,FSM
R10REST_ASIA,GUM
R10REST_ASIA,IDN
R10REST_ASIA,KHM
R10REST_ASIA,KIR
R10REST_ASIA,PRK
R10REST_ASIA,LAO
R10REST_ASIA,MHL
R10REST_ASIA,MMR
R10REST_ASIA,MNG
R10REST_ASIA,MNP
R10REST_ASIA,MYS
R10REST_ASIA,NCL
R10REST_ASIA,PHL
R10REST_ASIA,PLW
R10REST_ASIA,PNG
R10REST_ASIA,PYF
R10REST_ASIA,SGP
R10REST_ASIA,SLB
R10REST_ASIA,THA
R10REST_ASIA,TLS
R10REST_ASIA,TON
R10REST_ASIA,VNM
R10REST_ASIA,VUT
R10REST_ASIA,WSM
R10PAC_OECD,AUS
R10REST_ASIA,KOR
R10AFRICA,ZAF
R10LATIN_AM,ABW
R10LATIN_AM,AIA
R10LATIN_AM,ARG
R10LATIN_AM,ATG
R10LATIN_AM,BES
R10LATIN_AM,BHS
R10LATIN_AM,BLM
R10LATIN_AM,BLZ
R10LATIN_AM,BOL
R10LATIN_AM,BRA
R10LATIN_AM,BRB
R10LATIN_AM,CHL
R10LATIN_AM,COL
R10LATIN_AM,CRI
R10LATIN_AM,CUB
R10LATIN_AM,CUW
R10LATIN_AM,CYM
R10LATIN_AM,DMA
R10LATIN_AM,DOM
R10LATIN_AM,ECU
R10LATIN_AM,FLK
R10LATIN_AM,GLP
R10LATIN_AM,GRD
R10LATIN_AM,GTM
R10LATIN_AM,GUF
R10LATIN_AM,GUY
R10LATIN_AM,HND
R10LATIN_AM,HTI
R10LATIN_AM,JAM
R10LATIN_AM,KNA
R10LATIN_AM,LCA
R10LATIN_AM,MAF
R10LATIN_AM,MEX
R10LATIN_AM,MSR
R10LATIN_AM,MTQ
R10LATIN_AM,NIC
R10LATIN_AM,PAN
R10LATIN_AM,PER
R10LATIN_AM,PRI
R10LATIN_AM,PRY
R10LATIN_AM,SLV
R10LATIN_AM,SUR
R10LATIN_AM,SXM
R10LATIN_AM,TTO
R10LATIN_AM,URY
R10LATIN_AM,VCT
R10LATIN_AM,VEN
R10INDIA+,IND
R10MIDDLE_EAST,ARE
R10MIDDLE_EAST,BHR
R10AFRICA,DJI
R10AFRICA,DZA
R10AFRICA,EGY
R10MIDDLE_EAST,ESH
R10MIDDLE_EAST,IRN
R10MIDDLE_EAST,IRQ
R10MIDDLE_EAST,ISR
R10MIDDLE_EAST,JOR
R10MIDDLE_EAST,KWT
R10MIDDLE_EAST,LBN
R10AFRICA,LBY
R10AFRICA,MAR
R10MIDDLE_EAST,OMN
R10MIDDLE_EAST,PSE
R10MIDDLE_EAST,QAT
R10MIDDLE_EAST,SAU
R10MIDDLE_EAST,SYR
R10AFRICA,TUN
R10MIDDLE_EAST,YEM
R10EUROPE,BGR
R10EUROPE,CYP
R10EUROPE,CZE
R10EUROPE,EST
R10EUROPE,HUN
R10EUROPE,LTU
R10EUROPE,LVA
R10EUROPE,POL
R10EUROPE,ROU
R10EUROPE,SVK
R10EUROPE,SVN
R10EUROPE,MLT
R10EUROPE,HRV
R10EUROPE,AUT
R10EUROPE,BEL
R10EUROPE,DEU
R10EUROPE,DNK
R10EUROPE,ESP
R10EUROPE,FIN
R10EUROPE,FRA
R10EUROPE,GBR
